epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1468,2.26574,3.30335,2.39767,0.17196,0.16788,0.07941,0.02443,2.54961,3.49997,2.47158,0.000333232,0.000333232,0.06701
2,2900.29,2.13873,3.00645,2.24552,0.24662,0.23062,0.14882,0.05338,2.29219,2.7877,2.16598,0.000658317,0.000658317,0.0340018
3,4324.21,2.04253,2.77851,2.14311,0.30624,0.25034,0.18627,0.06503,2.2365,2.66821,2.10802,0.000975151,0.000975151,0.000985256
4,5745.85,1.9739,2.61272,2.07432,0.34517,0.31169,0.2489,0.09167,2.15815,2.46708,2.02989,0.000962875,0.000962875,0.000962875
5,7166.54,1.93135,2.48147,2.02429,0.37657,0.30795,0.26192,0.09902,2.18055,2.44309,2.03258,0.0009505,0.0009505,0.0009505
6,8587.06,1.88822,2.38258,1.98996,0.39439,0.34979,0.30087,0.11544,2.10983,2.33331,1.94925,0.000938125,0.000938125,0.000938125
7,10005.4,1.86188,2.30539,1.96168,0.39201,0.37866,0.32233,0.12648,2.0998,2.21201,1.94644,0.00092575,0.00092575,0.00092575
8,11423.1,1.83948,2.25186,1.94395,0.43179,0.38958,0.35389,0.13434,2.10328,2.14946,1.95611,0.000913375,0.000913375,0.000913375
9,12841.7,1.81931,2.20614,1.92127,0.45011,0.40268,0.36917,0.14757,2.04902,2.1223,1.90887,0.000901,0.000901,0.000901
10,14261.4,1.80606,2.15482,1.90653,0.46388,0.40111,0.38001,0.15613,2.00051,2.1035,1.86421,0.000888625,0.000888625,0.000888625
11,15682.1,1.78589,2.11439,1.88903,0.46027,0.42776,0.39561,0.16565,1.98003,2.04351,1.84023,0.00087625,0.00087625,0.00087625
12,17102.3,1.76296,2.07039,1.86532,0.49635,0.44293,0.42355,0.17736,1.9438,2.00588,1.80408,0.000863875,0.000863875,0.000863875
13,18522,1.75248,2.0472,1.8554,0.4887,0.45221,0.43127,0.18679,1.93755,1.9765,1.8063,0.0008515,0.0008515,0.0008515
14,19942,1.73213,1.99343,1.83803,0.51075,0.45914,0.44748,0.20082,1.9011,1.95128,1.77867,0.000839125,0.000839125,0.000839125
15,21363.1,1.72044,1.96837,1.83152,0.5346,0.46943,0.47146,0.21387,1.8638,1.89095,1.75313,0.00082675,0.00082675,0.00082675
16,22784.4,1.70266,1.92469,1.81431,0.54118,0.46923,0.47388,0.21544,1.88368,1.85001,1.75909,0.000814375,0.000814375,0.000814375
17,24203.3,1.68351,1.90181,1.80016,0.54936,0.47499,0.48236,0.22121,1.84138,1.82361,1.73523,0.000802,0.000802,0.000802
18,25623.7,1.68172,1.87677,1.79718,0.55967,0.47982,0.49289,0.22991,1.82219,1.79473,1.71369,0.000789625,0.000789625,0.000789625
19,27042.9,1.66085,1.84498,1.78433,0.57013,0.48512,0.50582,0.23705,1.80713,1.77509,1.70575,0.00077725,0.00077725,0.00077725
20,28463.3,1.65362,1.82262,1.77619,0.57986,0.48627,0.50822,0.23896,1.80681,1.75757,1.70963,0.000764875,0.000764875,0.000764875
